County|Publication Day|Deadline Description
FULTON|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)
BUTTS|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)
CLAYTON|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)
GWINNETT|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)
HENRY|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)
ROCKDALE|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)
DOUGLAS|Wednesday|tuesday Week prior @ 4:00 (8 days prior @ 4pm)
COLUMBIA|Wednesday|wednesday Week prior @ 3:00 (7 days prior @ 3pm)
MURRAY|Wednesday|wednesday Week prior @ 5:00 (7 days prior @ 5pm)
JOHNSON|Tuesday|wednesday Week prior @ 9:00 (6 days prior @ 9am)
BANKS|Wednesday|wednesday Week prior @ 12:00 (7 days prior @ 12pm)
BARROW|Wednesday|wednesday Week prior @ 12:00 (7 days prior @ 12pm)
DEKALB|Thursday|wednesday Week prior @ 12:00 (8 days prior @ 12pm)
JACKSON|Wednesday|wednesday Week prior @ 12:00 (7 days prior @ 12pm)
MADISON|Wednesday|wednesday Week prior @ 12:00 (7 days prior @ 12pm)
OCONEE|Thursday|thursday Week prior @ 3:00 (7 days prior @ 3pm)
WORTH|Wednesday|thursday Week prior @ 3:00 (6 days prior @ 3pm)
BLECKLEY|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)
BURKE|Wednesday|thursday Week prior @ 4:00 (6 days prior @ 4pm)
CARROLL|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)
DADE|Wednesday|thursday Week prior @ 4:00 (6 days prior @ 4pm)
EARLY|Wednesday|thursday Week prior @ 4:00 (6 days prior @ 4pm)
GLASCOCK|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)
HARALSON|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)
JEFFERSON|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)
RICHMOND|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)
TWIGGS|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)
BARTOW|Thursday|thursday Week prior @ 5:00 (7 days prior @ 5pm)
CATOOSA|Wednesday|thursday Week prior @ 5:00 (6 days prior @ 5pm)
JENKINS|Wednesday|thursday Week prior @ 5:00 (6 days prior @ 5pm)
POLK|Wednesday|thursday Week prior @ 5:00 (6 days prior @ 5pm)
WALKER|Wednesday|thursday Week prior @ 5:00 (6 days prior @ 5pm)
LAMAR|Tuesday|thursday Week prior @ 10:00 (5 days prior @ 10am)
CANDLER|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
CLAY|Thursday|thursday Week prior @ 12:00 (7 days prior @ 12pm)
COLQUITT|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
DAWSON|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
FANNIN|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
FORSYTH|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
HALL|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
HOUSTON|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
MCINTOSH|Thursday|thursday Week prior @ 12:00 (7 days prior @ 12pm)
MILLER|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
MUSCOGEE|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
PIKE|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
PULASKI|Tuesday|thursday Week prior @ 12:00 (5 days prior @ 12pm)
THOMAS|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
TIFT|Thursday|thursday Week prior @ 12:00 (7 days prior @ 12pm)
TURNER|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)
WILKINSON|Thursday|thursday Week prior @ 12:00 (7 days prior @ 12pm)
CRISP|Wednesday|friday Week prior @ 1:00 (5 days prior @ 1pm)
GILMER|Wednesday|friday Week prior @ 2:00 (5 days prior @ 2pm)
CLINCH|Wednesday|friday Week prior @ 3:00 (5 days prior @ 3pm)
LANIER|Wednesday|friday Week prior @ 3:00 (5 days prior @ 3pm)
LUMPKIN|Wednesday|friday Week prior @ 3:00 (5 days prior @ 3pm)
APPLING|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)
BRANTLEY|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)
CHARLTON|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)
HANCOCK|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)
SPALDING|Saturday|friday Week prior @ 4:00 (8 days prior @ 4pm)
TOWNS|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)
UNION|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)
BACON|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)
BALDWIN|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)
BERRIEN|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)
CHATHAM|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)
DODGE|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)
DOOLY|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)
EMANUEL|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)
GORDON|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)
HEARD|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)
JASPER|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)
LEE|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)
LIBERTY|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)
LINCOLN|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)
MACON|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)
MORGAN|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)
PIERCE|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)
WHITE|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)
WILKES|Thursday|friday Week prior @ 5:00 (6 days prior @ 5pm)
DECATUR|Wednesday|friday Week prior @ 9:00 (5 days prior @ 9am)
TREUTLEN|Thursday|friday Week prior @ 9:00 (6 days prior @ 9am)
UPSON|Wednesday|friday Week prior @ 10:00 (5 days prior @ 10am)
BAKER|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
BEN HILL|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
BIBB|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
BROOKS|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
CHEROKEE|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
COBB|Friday|friday Week prior @ 12:00 (7 days prior @ 12pm)
COOK|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
COWETA|Saturday|friday Week prior @ 12:00 (8 days prior @ 12pm)
CRAWFORD|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
ECHOLS|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
FAYETTE|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
GRADY|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
GREENE|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
HABERSHAM|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
HARRIS|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
IRWIN|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
LOWNDES|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
MCDUFFIE|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
MERIWETHER|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
MITCHELL|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
MONROE|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)
PAULDING|Thursday|friday Week prior @ 12:00 (6 days prior @ 12pm)
