County|Publication Day|Deadline Description |Late Deadline Description
APPLING|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)|friday Week prior @ 4:00 (5 days prior @ 4pm)
ATKINSON|Thursday|monday Week of @ 12:00 (3 days prior @ 12pm)|monday Week of @ 12:00 (3 days prior @ 12pm)
BACON|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
BAKER|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
BALDWIN|Saturday|tuesday Week of @ 2:00 (4 days prior @ 2pm)|tuesday Week of @ 2:00 (4 days prior @ 2pm)
BANKS|Wednesday|wednesday Week prior @ 12:00 (7 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
BARROW|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
BARTOW|Friday|thursday Week prior @ 5:00 (8 days prior @ 5pm)|thursday Week prior @ 5:00 (8 days prior @ 5pm)
BEN HILL|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
BERRIEN|Wednesday|friday Week prior @ 5:00 (5 days prior @ 5pm)|friday Week prior @ 5:00 (5 days prior @ 5pm)
BIBB|Tuesday|wednesday Week prior @ 12:00 (6 days prior @ 12pm)|wednesday Week prior @ 12:00 (6 days prior @ 12pm)
BLECKLEY|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)|thursday Week prior @ 4:00 (7 days prior @ 4pm)
BRANTLEY|Wednesday|friday Week prior @ 4:00 (5 days prior @ 4pm)|friday Week prior @ 4:00 (5 days prior @ 4pm)
BROOKS|Wednesday|friday Week prior @ 12:00 (5 days prior @ 12pm)|friday Week prior @ 12:00 (5 days prior @ 12pm)
BRYAN|Thursday|tuesday Week of @ 5:00 (2 days prior @ 5pm)|tuesday Week of @ 5:00 (2 days prior @ 5pm)
BULLOCH|Thursday|tuesday Week of @ 12:00 (2 days prior @ 12pm)|tuesday Week of @ 12:00 (2 days prior @ 12pm)
BURKE|Wednesday|thursday Week prior @ 5:00 (6 days prior @ 5pm)|thursday Week prior @ 5:00 (6 days prior @ 5pm)
BUTTS|Wednesday|monday Week prior @ 12:00 (9 days prior @ 12pm)|thursday Week prior @ 3:00 (6 days prior @ 3pm)
CALHOUN|Friday|wednesday Week of @ 12:00 (2 days prior @ 12pm)|wednesday Week of @ 12:00 (2 days prior @ 12pm)
CAMDEN|Thursday|monday Week of @ 4:30 (3 days prior @ 4:30pm)|monday Week of @ 4:30 (3 days prior @ 4:30pm)
CANDLER|Wednesday|thursday Week prior @ 12:00 (6 days prior @ 12pm)|thursday Week prior @ 12:00 (6 days prior @ 12pm)
CARROLL|Thursday|thursday Week prior @ 4:00 (7 days prior @ 4pm)|tuesday Week of @ 12:00 (2 days prior @ 12pm)
