Abbeville|Wednesday|2 days prior @ 5pm
Aiken|Daily|3 days prior @ 4pm
Allendale|Wednesday|5 days prior @ 12pm
Anderson|Wednesday|5 days prior @ 12pm
Bamberg|Wednesday|2 days prior @ 12pm
Barnwell|Wednesday|5 days prior @ 12pm
Beaufort|Friday|1 day prior @ 12pm
Berkeley|Wednesday|5 days prior @ 4pm
Calhoun|Thursday|2 days prior @ 12pm
Charleston|Daily|Tuesday-Friday: 2 days prior @ 12pm / Saturday-Monday: Thursday @ 4pm
Cherokee|Monday, Wednesday, Friday|7 days prior @ 12pm
Chester|Wednesday|2 days prior @ 3pm
Chesterfield|Tuesday|6 days prior @ 12 pm
Clarendon|Thursday|6 days prior @ 12 pm
Colleton|Thursday|6 days prior @ 2 pm
Darlington|Wednesday, Friday|Wednesday: 5 days prior @ 5 pm / Friday: 3 days prior @ 5 pm
Dillon|Tuesday, Thursday|1 day prior @ 11am
Dorchester|Daily|Tuesday-Friday: 2 days prior @ 12 pm / Saturday-Monday: Thursday @ 4 pm
Edgefield|Wednesday|6 days prior @ 12 pm
Fairfield|Thursday|3 days prior @ 12 pm
Florence|Wednesday|4 days prior @ 12 pm
Georgetown|Wednesday|2 days prior @ 11 am
Greenville|Friday|8 days prior @ 10 am
Greenwood|Daily|3 days prior @ 5pm
Hampton|Thursday|3 days prior @ 12 pm
Horry|Daily|3 days prior @ 4 pm
Jasper|Friday|1 day prior @ 12 pm
Kershaw|Monday, Wednesday, Friday|2 days prior @ 12 pm
Lancaster|Sunday, Wednesday|3 days prior @ 3 pm
Laurens|Wednesday|7 days prior @ 5pm
Lee|Wednesday|5 days prior @ 4 pm
Lexington|Thursday|6 days prior @ 5 pm
McCormick|Thursday|3 days prior @ 12 pm
Marion|Wednesday|2 days prior @ 11 am
Marlboro|Thursday|2 days prior @ 12 pm
Newberry|Wednesday|2 days prior @ 4 pm
Oconee|Tuesday, Wednesday, Thursday, Friday, Saturday|1 day prior @ 12 pm
Orangeburg|Friday|3 days prior @ 12 pm
Pickens|Wednesday, Saturday|2 days prior @ 3 pm
Richland|Daily|2 days prior @ 1 pm
Saluda|Daily|2 days prior @ 1 pm
Spartanburg|Thursday|3 days prior @ 12 pm
Sumter|Friday|3 days prior @ 12 pm
Union|Wednesday, Friday|2 days prior @ 12 pm
Williamsburg|Wednesday|5 days prior @ 5 pm
York |Daily|3 days prior @ 2 pm
